fish_id,gene,anat_label,dx_um,dy_um,dz_um,xy_um,abs_dz_um,distance_um
L395_f11,pth2,13033,,,,4.599406766224552,,4.599406766224552
L395_f11,pth2,13353,,,,4.855142575586897,,4.855142575586897
L395_f11,pth2,13718,,,,2.510322759485795,,2.510322759485795
L395_f11,pth2,13949,,,,3.854411595278441,,3.854411595278441
L395_f11,pth2,14231,,,,2.742043199405876,,2.742043199405876
L395_f11,pth2,14773,,,,3.649638908584802,,3.649638908584802
L395_f11,pth2,14837,,,,2.65540442667387,,2.65540442667387
L395_f11,pth2,15069,,,,4.230574174842259,,4.230574174842259
L395_f11,pth2,15117,,,,2.167929348665577,,2.167929348665577
L395_f11,pth2,15378,,,,3.082695794455599,,3.082695794455599
L395_f11,pth2,15380,,,,1.752585063457124,,1.752585063457124
L395_f11,pth2,15414,,,,2.627307004079937,,2.627307004079937
L395_f11,pth2,15421,,,,1.7282148557109522,,1.7282148557109522
L395_f11,pth2,15791,,,,4.098356203902112,,4.098356203902112
L395_f11,pth2,16191,,,,2.1022566297982026,,2.1022566297982026
L395_f11,pth2,17469,,,,3.029189498723165,,3.029189498723165
L395_f11,pth2,17519,,,,3.612428414461282,,3.612428414461282
L395_f11,pth2,20007,,,,4.520986898559413,,4.520986898559413
L395_f11,sst1.1,11561,,,,3.472749257741223,,3.472749257741223
L395_f11,sst1.1,12516,,,,3.368720888407772,,3.368720888407772
L395_f11,sst1.1,12517,,,,2.747855092694069,,2.747855092694069
L395_f11,sst1.1,12745,,,,1.9555218393848532,,1.9555218393848532
L395_f11,sst1.1,12758,,,,4.5965519506690695,,4.5965519506690695
L395_f11,sst1.1,12776,,,,2.0270632490853004,,2.0270632490853004
L395_f11,sst1.1,12788,,,,3.029494988226628,,3.029494988226628
L395_f11,sst1.1,13044,,,,1.879543559366895,,1.879543559366895
L395_f11,sst1.1,13056,,,,3.4278580610387293,,3.4278580610387293
L395_f11,sst1.1,13062,,,,1.9004191808141715,,1.9004191808141715
L395_f11,sst1.1,13099,,,,3.681671067570836,,3.681671067570836
L395_f11,sst1.1,13311,,,,6.826144569878075,,6.826144569878075
L395_f11,sst1.1,13625,,,,3.0490184456436724,,3.0490184456436724
L395_f11,sst1.1,13698,,,,4.219910978233987,,4.219910978233987
L395_f11,sst1.1,13967,,,,1.455776284894953,,1.455776284894953
L395_f11,sst1.1,13985,,,,3.984381614394366,,3.984381614394366
L395_f11,sst1.1,13997,,,,4.463462787245225,,4.463462787245225
L395_f11,sst1.1,14507,,,,5.433637542558114,,5.433637542558114
L395_f11,sst1.1,15085,,,,2.7447917128371366,,2.7447917128371366
L395_f11,sst1.1,16191,,,,4.705190687984266,,4.705190687984266
L395_f11,sst1.1,17519,,,,1.9909948439085576,,1.9909948439085576
L395_f11,sst1.1,20331,,,,7.434091567267723,,7.434091567267723
L395_f11,sst1.2,12093,,,,3.258074400845785,,3.258074400845785
L395_f11,sst1.2,12111,,,,3.573867831249012,,3.573867831249012
L395_f11,sst1.2,13075,,,,2.7678668590123605,,2.7678668590123605
L395_f11,sst1.2,13096,,,,3.5911735596985026,,3.5911735596985026
L395_f11,sst1.2,13372,,,,5.336938532903471,,5.336938532903471
L395_f11,sst1.2,13393,,,,3.56938316131988,,3.56938316131988
L395_f11,tac3b,11383,,,,7.379792954843222,,7.379792954843222
L395_f11,tac3b,11561,,,,3.6307017945093425,,3.6307017945093425
L395_f11,tac3b,11600,,,,0.7475882391821774,,0.7475882391821774
L395_f11,tac3b,12103,,,,2.059891830619688,,2.059891830619688
L395_f11,tac3b,12296,,,,3.872634005268351,,3.872634005268351
L395_f11,tac3b,12309,,,,4.715526754508427,,4.715526754508427
L395_f11,tac3b,12553,,,,1.9544320845971224,,1.9544320845971224
L395_f11,tac3b,12745,,,,2.510888223665974,,2.510888223665974
L395_f11,tac3b,12776,,,,4.501514732418036,,4.501514732418036
L395_f11,tac3b,12788,,,,1.660971597185711,,1.660971597185711
L395_f11,tac3b,13418,,,,3.384706089728184,,3.384706089728184
L395_f11,tac3b,13625,,,,3.15444632573855,,3.15444632573855
L395_f11,tac3b,13698,,,,5.183625221719736,,5.183625221719736
L395_f11,tac3b,13704,,,,3.0986878581283244,,3.0986878581283244
L395_f11,tac3b,13967,,,,1.6086733184595408,,1.6086733184595408
L395_f11,tac3b,14240,,,,1.7008227065636354,,1.7008227065636354
L395_f11,tac3b,14507,,,,4.658744365205248,,4.658744365205248
L395_f11,tac3b,15085,,,,3.0584514027105127,,3.0584514027105127
L395_f11,tac3b,16840,,,,2.8686535813079175,,2.8686535813079175
L396_f01,pth2,11150,,,,1.5150323556998675,,1.5150323556998675
L396_f01,pth2,12078,,,,5.068567331274724,,5.068567331274724
L396_f01,pth2,12302,,,,3.397746117716526,,3.397746117716526
L396_f01,pth2,12608,,,,1.32966660088701,,1.32966660088701
L396_f01,pth2,13571,,,,5.402826854011686,,5.402826854011686
L396_f01,pth2,15108,,,,1.4135382433741246,,1.4135382433741246
L396_f01,pth2,15110,,,,4.474914427360239,,4.474914427360239
L396_f01,pth2,15774,,,,1.2265332458438634,,1.2265332458438634
L396_f01,pth2,16097,,,,0.8041794734696556,,0.8041794734696556
L396_f01,pth2,16103,,,,2.802629277696802,,2.802629277696802
L396_f01,pth2,16511,,,,1.3330709896473003,,1.3330709896473003
L396_f01,pth2,16762,,,,4.883892903760245,,4.883892903760245
L396_f01,pth2,16773,,,,4.416789880987868,,4.416789880987868
L396_f01,pth2,16779,,,,4.783371011380248,,4.783371011380248
L396_f01,pth2,16781,,,,1.7046211634242734,,1.7046211634242734
L396_f01,pth2,17150,,,,4.482049225648889,,4.482049225648889
L396_f01,pth2,17947,,,,4.591547847206481,,4.591547847206481
L396_f01,sst1.1,11768,,,,1.4776783285529136,,1.4776783285529136
L396_f01,sst1.1,12078,,,,2.2625042069788104,,2.2625042069788104
L396_f01,sst1.1,12602,,,,1.909874138337645,,1.909874138337645
L396_f01,sst1.1,12630,,,,4.087168464285838,,4.087168464285838
L396_f01,sst1.1,14212,,,,2.8333185880667697,,2.8333185880667697
L396_f01,sst1.1,15108,,,,3.865312415498545,,3.865312415498545
L396_f01,sst1.1,15110,,,,3.314406387123693,,3.314406387123693
L396_f01,sst1.1,15774,,,,3.7966944097395072,,3.7966944097395072
L396_f01,sst1.1,15840,,,,2.724351429272407,,2.724351429272407
L396_f03,pth2,13115,,,,4.292464172398411,,4.292464172398411
L396_f03,pth2,13138,,,,1.179168156786503,,1.179168156786503
L396_f03,pth2,13139,,,,3.930945765659385,,3.930945765659385
L396_f03,pth2,13344,,,,4.619962378185769,,4.619962378185769
L396_f03,pth2,13346,,,,3.113506782547054,,3.113506782547054
L396_f03,pth2,13600,,,,5.435623193314826,,5.435623193314826
L396_f03,pth2,13826,,,,4.072247441278338,,4.072247441278338
L396_f03,pth2,14040,,,,1.4343807815595573,,1.4343807815595573
L396_f03,pth2,14291,,,,4.1430468155202655,,4.1430468155202655
L396_f03,pth2,15040,,,,6.064735214011371,,6.064735214011371
L396_f03,pth2,15259,,,,1.9055368259002323,,1.9055368259002323
L396_f03,pth2,15281,,,,3.243617368055626,,3.243617368055626
L396_f03,pth2,15284,,,,5.001518197298138,,5.001518197298138
L396_f03,pth2,15861,,,,2.86162087149732,,2.86162087149732
L396_f03,pth2,16204,,,,2.7125206334274896,,2.7125206334274896
L396_f03,pth2,16500,,,,2.7687490214404207,,2.7687490214404207
L396_f03,pth2,16539,,,,2.664754619641668,,2.664754619641668
L396_f03,pth2,16551,,,,2.7187847209298326,,2.7187847209298326
L396_f03,pth2,16833,,,,1.480283748665473,,1.480283748665473
L396_f03,pth2,16840,,,,3.107421961372897,,3.107421961372897
L396_f03,pth2,16850,,,,3.3780851126784106,,3.3780851126784106
L396_f03,pth2,16902,,,,5.696096966377933,,5.696096966377933
L396_f03,pth2,17229,,,,2.544376933787329,,2.544376933787329
L396_f03,pth2,17238,,,,0.8591433170632965,,0.8591433170632965
L396_f03,pth2,17472,,,,5.179181461653749,,5.179181461653749
L396_f03,pth2,17751,,,,2.3765664393412997,,2.3765664393412997
L396_f03,sst1.1,10605,,,,5.461545396155299,,5.461545396155299
L396_f03,sst1.1,11843,,,,3.4558618881496974,,3.4558618881496974
L396_f03,sst1.1,12658,,,,4.397583911079885,,4.397583911079885
L396_f03,sst1.1,12917,,,,5.765462056746808,,5.765462056746808
L396_f03,sst1.1,13139,,,,1.489082498990507,,1.489082498990507
L396_f03,sst1.1,13143,,,,4.776587276578076,,4.776587276578076
L396_f03,sst1.1,13144,,,,5.75726698365343,,5.75726698365343
L396_f03,sst1.1,13344,,,,3.80776976326747,,3.80776976326747
L396_f03,sst1.1,14523,,,,2.763031218639807,,2.763031218639807
L396_f03,sst1.1,14890,,,,3.105921733602229,,3.105921733602229
L396_f03,sst1.1,15861,,,,3.1016733123096247,,3.1016733123096247
L396_f03,sst1.1,15894,,,,1.685597763369474,,1.685597763369474
L396_f03,sst1.1,16205,,,,2.0987540804450924,,2.0987540804450924
L396_f03,sst1.1,16495,,,,1.0456485078904645,,1.0456485078904645
L396_f03,sst1.1,16539,,,,5.868124434223138,,5.868124434223138
L396_f03,sst1.1,16552,,,,1.9480526377529892,,1.9480526377529892
L396_f03,sst1.1,17180,,,,3.2242247637406876,,3.2242247637406876
L396_f03,sst1.1,18146,,,,2.3646717972306672,,2.3646717972306672
L396_f03,sst1.1,18600,,,,6.087294936863872,,6.087294936863872
L396_f03,sst1.2,11280,,,,3.5171720076581288,,3.5171720076581288
L396_f03,sst1.2,11445,,,,7.655643822043005,,7.655643822043005
L396_f03,sst1.2,12088,,,,3.5434091693952596,,3.5434091693952596
L396_f03,sst1.2,12111,,,,5.3651305566901355,,5.3651305566901355
L396_f03,sst1.2,12120,,,,3.9940433539241904,,3.9940433539241904
L396_f03,sst1.2,12421,,,,4.36947141530034,,4.36947141530034
L396_f03,sst1.2,12641,,,,0.7561971871738773,,0.7561971871738773
L396_f03,sst1.2,12668,,,,3.8154862479050857,,3.8154862479050857
L396_f03,sst1.2,12889,,,,1.1881122833955795,,1.1881122833955795
L396_f03,sst1.2,12906,,,,3.1494797369998397,,3.1494797369998397
L396_f03,sst1.2,12907,,,,2.289288599727502,,2.289288599727502
L396_f03,sst1.2,12917,,,,2.84953917641065,,2.84953917641065
L396_f03,sst1.2,13099,,,,7.121428549883754,,7.121428549883754
L396_f03,sst1.2,13115,,,,3.8513650636824024,,3.8513650636824024
L396_f03,sst1.2,13119,,,,3.449539390606968,,3.449539390606968
L396_f03,sst1.2,13136,,,,4.287609855762316,,4.287609855762316
L396_f03,sst1.2,13139,,,,5.820810077390817,,5.820810077390817
L396_f03,sst1.2,13143,,,,3.6772483776225737,,3.6772483776225737
L396_f03,sst1.2,13296,,,,2.582947070543036,,2.582947070543036
L396_f03,sst1.2,13303,,,,3.694165826302734,,3.694165826302734
L396_f03,sst1.2,13323,,,,2.941929485949727,,2.941929485949727
L396_f03,sst1.2,13344,,,,2.558140791631244,,2.558140791631244
L396_f03,sst1.2,13570,,,,2.9209712733788065,,2.9209712733788065
L396_f03,sst1.2,14291,,,,5.46556536570827,,5.46556536570827
L396_f03,sst1.2,14308,,,,2.642977738423544,,2.642977738423544
L396_f03,sst1.2,14519,,,,7.987587552896953,,7.987587552896953
L396_f03,sst1.2,14523,,,,2.1152384553142207,,2.1152384553142207
L396_f03,sst1.2,14528,,,,5.007637396856188,,5.007637396856188
L396_f03,sst1.2,14782,,,,5.212735980946575,,5.212735980946575
L396_f03,sst1.2,15264,,,,3.699072699918309,,3.699072699918309
L396_f03,sst1.2,15586,,,,5.30466812446072,,5.30466812446072
L396_f03,sst1.2,15861,,,,7.1747030498354505,,7.1747030498354505
L396_f03,sst1.2,15868,,,,2.732567874754926,,2.732567874754926
L396_f03,sst1.2,16167,,,,3.708957951834379,,3.708957951834379
L396_f03,sst1.2,16169,,,,4.0669101261257,,4.0669101261257
L396_f03,sst1.2,16205,,,,3.92955183471423,,3.92955183471423
L396_f03,sst1.2,16258,,,,6.50897545128078,,6.50897545128078
L396_f03,sst1.2,16495,,,,1.4230182522300443,,1.4230182522300443
L396_f03,sst1.2,16552,,,,2.297482066450734,,2.297482066450734
L396_f03,sst1.2,16840,,,,6.7453802034241725,,6.7453802034241725
L396_f03,sst1.2,17180,,,,0.6267823599461713,,0.6267823599461713
L396_f03,sst1.2,17215,,,,1.8134525530367671,,1.8134525530367671
L396_f03,sst1.2,18146,,,,2.595993636949567,,2.595993636949567
L396_f03,tac3b,10589,,,,2.366560742409158,,2.366560742409158
L396_f03,tac3b,12889,,,,2.7638726861900076,,2.7638726861900076
L396_f03,tac3b,13120,,,,4.149037451667234,,4.149037451667234
L396_f03,tac3b,13833,,,,2.8308252498089903,,2.8308252498089903
L396_f04,cfos,18638,,,,2.4503562665474865,,2.4503562665474865
L396_f04,npy,12190,,,,2.8050678294612807,,2.8050678294612807
L396_f04,npy,13411,,,,3.690467340128429,,3.690467340128429
L396_f04,npy,13670,,,,1.8647553024084775,,1.8647553024084775
L396_f04,npy,13734,,,,3.2175086300387385,,3.2175086300387385
L396_f04,npy,14222,,,,2.943673706790052,,2.943673706790052
L396_f04,npy,14643,,,,4.653516510304217,,4.653516510304217
L396_f04,npy,14649,,,,2.9152618181225516,,2.9152618181225516
L396_f04,npy,15538,,,,5.495779755990981,,5.495779755990981
L396_f04,npy,15560,,,,3.110342873062421,,3.110342873062421
L396_f04,npy,15865,,,,4.999303171096322,,4.999303171096322
L396_f04,npy,16215,,,,3.3293424026273293,,3.3293424026273293
L396_f04,npy,16947,,,,3.891679735841533,,3.891679735841533
L396_f04,npy,17705,,,,4.050281354419753,,4.050281354419753
L396_f04,npy,19521,,,,3.9195970906053534,,3.9195970906053534
L396_f04,npy,19992,,,,2.9065020963837536,,2.9065020963837536
L396_f04,npy,20116,,,,4.9122133210978625,,4.9122133210978625
L396_f04,pth2,13158,,,,5.5704848861223075,,5.5704848861223075
L396_f04,pth2,13710,,,,2.739050679051208,,2.739050679051208
L396_f04,pth2,13714,,,,5.460140995670943,,5.460140995670943
L396_f04,pth2,14333,,,,6.037251738908103,,6.037251738908103
L396_f04,pth2,14943,,,,1.3322866200184118,,1.3322866200184118
L396_f04,pth2,15567,,,,4.6381728115429235,,4.6381728115429235
L396_f04,pth2,16967,,,,4.749327866403642,,4.749327866403642
L396_f04,pth2,17721,,,,3.4852599902218255,,3.4852599902218255
L396_f04,pth2,17727,,,,4.227583451089177,,4.227583451089177
L396_f04,pth2,19532,,,,0.5636368597768487,,0.5636368597768487
L396_f04,sst1.1,10363,,,,1.8214238724075351,,1.8214238724075351
L396_f04,sst1.1,10369,,,,6.3418914208011445,,6.3418914208011445
L396_f04,sst1.1,10909,,,,1.5349936124261017,,1.5349936124261017
L396_f04,sst1.1,12398,,,,6.655280506646361,,6.655280506646361
L396_f04,sst1.1,12404,,,,6.149221267218855,,6.149221267218855
L396_f04,sst1.1,12666,,,,7.45538130469727,,7.45538130469727
L396_f04,sst1.1,12896,,,,2.080899195824686,,2.080899195824686
L396_f04,sst1.1,13140,,,,4.087035972765249,,4.087035972765249
L396_f04,sst1.1,13418,,,,4.783455239393878,,4.783455239393878
L396_f04,sst1.1,13433,,,,3.7126063442978663,,3.7126063442978663
L396_f04,sst1.1,13697,,,,3.0945615625678733,,3.0945615625678733
L396_f04,sst1.1,13698,,,,4.182057987417371,,4.182057987417371
L396_f04,sst1.1,13714,,,,8.324725285212327,,8.324725285212327
L396_f04,sst1.1,14061,,,,2.272683436171075,,2.272683436171075
L396_f04,sst1.1,14344,,,,9.196311338659095,,9.196311338659095
L396_f04,sst1.1,14634,,,,3.2753520584502738,,3.2753520584502738
L396_f04,sst1.1,14642,,,,3.126084857480075,,3.126084857480075
L396_f04,sst1.1,16217,,,,3.4718660815459734,,3.4718660815459734
L396_f04,sst1.1,16220,,,,3.5194843237568656,,3.5194843237568656
L396_f04,sst1.1,16584,,,,2.067043576372703,,2.067043576372703
L396_f04,sst1.1,16890,,,,1.643051658134757,,1.643051658134757
L396_f04,sst1.1,17742,,,,2.2021607842532895,,2.2021607842532895
L396_f04,sst1.1,18347,,,,5.645927744202431,,5.645927744202431
L396_f04,sst1.1,18366,,,,5.079554241967378,,5.079554241967378
L396_f04,sst1.1,18684,,,,3.213941785937454,,3.213941785937454
L396_f04,sst1.1,19929,,,,4.614663160628151,,4.614663160628151
L396_f04,sst1.2,11083,,,,3.2289620266696164,,3.2289620266696164
L396_f04,sst1.2,12190,,,,4.395371335459777,,4.395371335459777
L396_f04,sst1.2,12201,,,,4.630414618622463,,4.630414618622463
L396_f04,sst1.2,12404,,,,5.220007919815728,,5.220007919815728
L396_f04,sst1.2,12657,,,,3.69487086809916,,3.69487086809916
L396_f04,sst1.2,12670,,,,1.4187346471130295,,1.4187346471130295
L396_f04,sst1.2,12892,,,,5.611217429354303,,5.611217429354303
L396_f04,sst1.2,13406,,,,2.9980453762982453,,2.9980453762982453
L396_f04,sst1.2,13698,,,,2.940257735295704,,2.940257735295704
L396_f04,sst1.2,14344,,,,9.842104187178716,,9.842104187178716
L396_f04,sst1.2,16169,,,,3.214897658247443,,3.214897658247443
L396_f04,sst1.2,16584,,,,2.0417478320394062,,2.0417478320394062
L396_f04,tac3b,14351,,,,6.202955984936726,,6.202955984936726
L396_f04,tac3b,19513,,,,2.6875712955199713,,2.6875712955199713
