fish_id,axis,offset_um
L395_f11,xy,0.9083190524730332
L395_f11,xy,3.7400383354043254
L395_f11,xy,2.459851338645567
L395_f11,xy,2.548660975473227
L395_f11,xy,2.950431425082839
L395_f11,xy,5.816118781767562
L395_f11,xy,5.578806811683085
L395_f11,xy,1.095941869062254
L395_f11,xy,0.5773134030647131
L395_f11,xy,2.46979128593985
L395_f11,xy,2.5972282007690732
L395_f11,xy,3.037545810159223
L395_f11,xy,2.372189390533415
L395_f11,xy,1.2126508520575765
L395_f11,xy,3.242367725999998
L395_f11,xy,4.578895486858015
L395_f11,xy,0.7016338195348227
L395_f11,xy,2.3603115773285572
L395_f11,xy,1.237452140960433
L395_f11,xy,4.110056562330657
L395_f11,xy,2.070965840774558
L395_f11,xy,2.703416544834466
L395_f11,xy,2.4314371325944433
L395_f11,xy,2.861174543599423
L395_f11,xy,1.3703260690593595
L395_f11,xy,3.064876162873318
L395_f11,xy,4.201963298717035
L395_f11,xy,4.168196161985097
L395_f11,xy,3.639473056908357
L395_f11,xy,4.222277872452264
L395_f11,xy,6.388402353498324
L395_f11,xy,2.535911969821094
L395_f11,xy,0.9718861655203164
L395_f11,xy,2.069751034893213
L395_f11,xy,1.2715419781316255
L395_f11,xy,2.689249646760257
L395_f11,xy,2.327810644797886
L395_f11,xy,0.5678983261735352
L395_f11,xy,2.3656566224744684
L395_f11,xy,2.813629789407471
L395_f11,xy,2.5137881689727415
L395_f11,xy,2.3402958688227486
L395_f11,xy,2.792606267700633
L395_f11,xy,1.8158391047785576
L395_f11,xy,1.453217664254281
L395_f11,xy,1.155997331845837
L395_f11,xy,1.029245842245049
L395_f11,xy,3.8491168412491903
L395_f11,xy,2.4421189160878276
L395_f11,xy,3.111279831771306
L395_f11,xy,1.982280458822525
L395_f11,xy,1.6522850160430167
L395_f11,xy,4.5752502390693754
L395_f11,xy,0.9819432960982012
L395_f11,xy,2.5874451192360515
L395_f11,xy,1.739970953217059
L395_f11,xy,1.9435740017319345
L395_f11,xy,3.7827107891123983
L395_f11,xy,3.7536741166987495
L395_f11,xy,1.4528212702172725
L395_f11,xy,3.066751772931393
L395_f11,xy,1.2886552427911255
L395_f11,xy,2.754977649280764
L395_f11,xy,5.446718753478062
L395_f11,xy,5.044242479888527
L395_f11,xy,1.6951215843504852
L395_f11,xy,3.6016494021891923
L395_f11,xy,2.1762209337102174
L395_f11,xy,3.676682672913061
L395_f11,xy,4.2897934924270755
L395_f11,xy,1.8603585507617544
L395_f11,xy,1.83422927975918
L395_f11,xy,1.7548404554144523
L395_f11,xy,4.704349643640149
L395_f11,xy,2.6682166864392625
L395_f11,xy,2.5597314270746474
L395_f11,xy,2.6464143062920673
L395_f11,xy,3.8716760260640655
L395_f11,xy,1.4648417386738664
L395_f11,xy,3.5261116388831413
L395_f11,xy,2.376670691887399
L395_f11,xy,1.933780302963121
L395_f11,xy,2.9407858283650588
L395_f11,xy,3.6005503109847816
L395_f11,xy,1.9307636083048652
L395_f11,xy,2.7372584250779153
L395_f11,xy,1.871905099193457
L395_f11,xy,1.2861967249337196
L395_f11,xy,2.449087160150417
L395_f11,xy,2.358915174875506
L395_f11,xy,2.776104362056232
L395_f11,xy,3.279856897072778
L395_f11,xy,4.428155134798621
L395_f11,xy,2.201361416136366
L395_f11,xy,0.6574655605791032
L395_f11,xy,2.0158756930179726
L395_f11,xy,1.506294403655329
L395_f11,xy,1.4024007832323842
L395_f11,xy,1.3090064606709664
L395_f11,xy,1.462241196667453
L395_f11,xy,1.5979614402836897
L395_f11,xy,2.844103747092759
L395_f11,xy,5.097868055044305
L395_f11,xy,1.7295766008673483
L395_f11,xy,2.446292135434138
L395_f11,xy,2.1077236084062805
L395_f11,xy,4.486947614670404
L395_f11,xy,4.706522422573016
L395_f11,xy,2.1829958041613535
L395_f11,xy,3.819365616475609
L395_f11,xy,0.4593808441671659
L395_f11,xy,1.501664746056654
L395_f11,xy,3.918787166586007
L395_f11,xy,0.5242135044533992
L395_f11,xy,2.319016822087932
L395_f11,xy,4.401150378163376
L395_f11,xy,2.286476280011995
L395_f11,xy,4.654048782635834
L395_f11,xy,1.2746157510447302
L395_f11,xy,2.906959038553634
L395_f11,xy,2.6636923291830548
L395_f11,xy,3.3386005822970426
L395_f11,xy,2.6628821554131097
L395_f11,xy,2.171823735068505
L395_f11,xy,0.7629686563738332
L395_f11,xy,1.8426694377646953
L395_f11,xy,4.780931160966029
L395_f11,xy,5.823715114324035
L395_f11,xy,3.4102594696555055
L395_f11,xy,1.6070324444926951
L395_f11,xy,1.1738317591313567
L395_f11,xy,4.9731048494195536
L395_f11,xy,4.753181114829818
L395_f11,xy,4.036882533713562
L395_f11,xy,2.401599286511048
L395_f11,xy,4.591762880680591
L395_f11,xy,2.9308935937013376
L395_f11,xy,2.9485051263301636
L395_f11,xy,2.3147040940059984
L395_f11,xy,0.9771160721344826
L395_f11,xy,3.5539804016455703
L395_f11,xy,3.085920847572291
L395_f11,xy,1.8991362444779
L395_f11,xy,2.8803325225436427
L395_f11,xy,3.0383471084043845
L395_f11,xy,2.5801911727736297
L395_f11,xy,1.5847951934179068
L395_f11,xy,2.307834419952534
L395_f11,xy,2.886864142697082
L395_f11,xy,0.7966755772282746
L395_f11,xy,1.2070515432650408
L395_f11,xy,4.614247956704806
L395_f11,xy,3.618766038679676
L395_f11,xy,4.138336817416177
L395_f11,xy,1.9751258758100871
L395_f11,xy,2.3925529221744095
L395_f11,xy,2.9107584043058417
L395_f11,xy,1.9773067928875123
L395_f11,xy,1.4473264119443847
L395_f11,xy,0.7984122463776365
L395_f11,xy,1.0552113363346745
L395_f11,xy,2.1388266705683368
L395_f11,xy,4.359188191671001
L395_f11,xy,2.0991572589272898
L395_f11,xy,5.516863532650951
L395_f11,xy,2.2906975880658416
L395_f11,xy,3.4094074847291727
L395_f11,xy,4.928940383081741
L395_f11,xy,2.3860490090493833
L395_f11,xy,4.494057323173596
L395_f11,xy,5.307297626967085
L395_f11,xy,4.531736939567039
L395_f11,xy,4.157885109618511
L395_f11,xy,2.0660503212325008
L395_f11,xy,4.328904353585915
L395_f11,xy,0.7992129242741975
L395_f11,xy,2.596134686857497
L395_f11,xy,1.905139854239968
L395_f11,xy,0.953597618698579
L395_f11,xy,3.462942679425995
L395_f11,xy,4.32086812833456
L395_f11,xy,1.5264807086468053
L395_f11,xy,6.602560389123994
L395_f11,xy,1.2754006488206744
L395_f11,xy,3.991720199475296
L395_f11,xy,5.336767854841018
L395_f11,xy,1.3342433222059529
L395_f11,xy,1.803966747966524
L395_f11,xy,0.5047007071254044
L395_f11,xy,4.204305776226338
L395_f11,xy,2.977996308218814
L395_f11,xy,1.286237136921336
L395_f11,xy,1.2588163802406829
L395_f11,xy,2.327197401661727
L395_f11,xy,0.7052016546250895
L395_f11,xy,2.8826987762978353
L395_f11,xy,1.5132503745432888
L395_f11,xy,0.5701115459186344
L395_f11,xy,2.9568455879935187
L395_f11,xy,1.4807389145576122
L395_f11,xy,2.35960014609144
L395_f11,xy,2.5631267958225985
L395_f11,xy,2.2177714055143887
L395_f11,xy,2.84325705107168
L395_f11,xy,1.368270271455921
L395_f11,xy,4.093616834265886
L395_f11,xy,1.9228675523412633
L395_f11,xy,2.401476312698304
L395_f11,xy,2.770506967056858
L395_f11,xy,2.9949885150066873
L395_f11,xy,2.483508313791315
L395_f11,xy,2.854621306252273
L395_f11,xy,3.05985667011506
L395_f11,xy,1.119765314977115
L395_f11,xy,4.40758524076574
L395_f11,xy,4.229639960625344
L395_f11,xy,1.408769705059462
L395_f11,xy,0.9646816461334472
L395_f11,xy,2.95326535214925
L395_f11,xy,2.1697747370038094
L395_f11,xy,3.5325342702018645
L395_f11,xy,4.37729973517815
L395_f11,xy,2.113240298944947
L395_f11,xy,3.980544191505694
L395_f11,xy,0.3494926987817682
L395_f11,xy,2.3548016968575167
L395_f11,xy,2.5188763754700116
L395_f11,xy,5.1620977599509414
L395_f11,xy,3.233463673023791
L395_f11,xy,3.180634343992747
L395_f11,xy,2.4303562086726953
L395_f11,xy,1.2729323711116316
L395_f11,xy,1.3940978202587508
L395_f11,xy,2.447907687833259
L395_f11,xy,4.592931520856216
L395_f11,xy,2.069584699678076
L395_f11,xy,1.1877023418791668
L395_f11,xy,0.4480889920983101
L395_f11,xy,1.84184016315975
L395_f11,xy,1.6729927018083663
L395_f11,xy,4.236195305731233
L395_f11,xy,2.737826338917665
L395_f11,xy,4.813043053547679
L395_f11,xy,2.41046982076385
L395_f11,xy,2.2003758226876395
L395_f11,xy,0.1300054124282766
L395_f11,xy,3.639105752600196
L395_f11,xy,3.967613131323005
L395_f11,xy,3.014608282961511
L395_f11,xy,1.831893194736016
L395_f11,xy,1.3403121050323248
L395_f11,xy,2.667871457135263
L395_f11,xy,0.2567119754304973
L395_f11,xy,2.4133892552840854
L395_f11,xy,4.947008973817391
L395_f11,xy,2.854886600726232
L395_f11,xy,1.330406872756801
L395_f11,xy,2.724653085079341
L395_f11,xy,5.941054440502121
L395_f11,xy,2.711699900978111
L395_f11,xy,4.4866189512708985
L395_f11,xy,3.3069064129814483
L395_f11,xy,2.8991585740493395
L395_f11,xy,2.790366322372706
L395_f11,xy,0.0272152518892065
L395_f11,xy,3.2693010917556884
L395_f11,xy,1.0088554563170815
L395_f11,xy,1.8114477696009452
L395_f11,xy,2.1671540283384827
L395_f11,xy,1.3821702878126827
L395_f11,xy,2.3458369532553407
L395_f11,xy,3.389285131495653
L395_f11,xy,3.714680159018472
L395_f11,xy,5.347120869272484
L395_f11,xy,3.3093925708438343
L395_f11,xy,3.232620553694134
L395_f11,xy,1.118875741675456
L395_f11,xy,3.4237851390373324
L395_f11,xy,4.268375527314512
L395_f11,xy,1.4192078029646749
L395_f11,xy,2.523284948393055
L395_f11,xy,1.8134076825865335
L395_f11,xy,3.2424869753650523
L395_f11,xy,1.1075369144923382
L395_f11,xy,2.220829608331235
L395_f11,xy,0.7686187377785411
L395_f11,xy,2.9234553913279764
L395_f11,xy,1.908455008133119
L395_f11,xy,1.1006620900829844
L395_f11,xy,1.4410129535733738
L395_f11,xy,5.205596903373763
L395_f11,xy,3.6941546195825783
L395_f11,xy,3.876175401047486
L395_f11,xy,1.799996572648082
L395_f11,xy,1.2043130516578933
L395_f11,xy,2.6402842351193607
L395_f11,xy,3.3356817462881843
L395_f11,xy,1.764026043881606
L395_f11,xy,3.290642022831076
L395_f11,xy,3.117564795424439
L395_f11,xy,2.1354635726767603
L395_f11,xy,1.568003372568865
L395_f11,xy,3.873317616696287
L395_f11,xy,0.5315596678947269
L395_f11,xy,2.0502571091894297
L395_f11,xy,0.5427945443160327
L395_f11,xy,2.3734300563267934
L395_f11,xy,2.4031475016295043
L395_f11,xy,0.9451205666738982
L395_f11,xy,3.3717226691576583
L395_f11,xy,2.044025340697917
L395_f11,xy,3.059449329032645
L395_f11,xy,0.890586270521586
L395_f11,xy,1.8041058012595657
L395_f11,xy,1.349855643359658
L395_f11,xy,1.360000299577932
L395_f11,xy,2.1476298832062604
L395_f11,xy,2.382597620492577
L395_f11,xy,4.105204966286127
L395_f11,xy,1.9297258738588132
L395_f11,xy,2.6127889126832584
L395_f11,xy,3.0241994200183
L395_f11,xy,3.329010220579531
L395_f11,xy,3.1554645491386055
L395_f11,xy,2.5430815904563593
L395_f11,xy,2.6423824595663272
L395_f11,xy,3.350488147321834
L395_f11,xy,0.5843130349640154
L395_f11,xy,2.292642382362133
L395_f11,xy,1.4129636878978964
L395_f11,xy,4.800185805577983
L395_f11,xy,1.5109232224576148
L395_f11,xy,1.7758756685341488
L395_f11,xy,1.7201003811599205
L395_f11,xy,1.1993888298117636
L395_f11,xy,2.874856160127489
L395_f11,xy,3.9727014880473175
L395_f11,xy,2.8417339077802115
L395_f11,xy,2.793511332754913
L395_f11,xy,1.9833656288784471
L395_f11,xy,2.50390785700448
L395_f11,xy,1.290151196169942
L395_f11,xy,4.920552943994814
L395_f11,xy,1.563799771220586
L395_f11,xy,1.5992888619514622
L395_f11,xy,2.593524427036512
L395_f11,xy,5.273909013035329
L395_f11,xy,2.188260826415041
L395_f11,xy,2.4703508684014186
L395_f11,xy,2.744175480578454
L395_f11,xy,4.283297596497881
L395_f11,xy,1.3775586523000225
L395_f11,xy,3.638604141019995
L395_f11,xy,2.3495939913656105
L395_f11,xy,2.44352654686985
L395_f11,xy,1.2223882386955192
L395_f11,xy,1.3678674603165306
L395_f11,xy,3.4858526440098982
L395_f11,xy,4.283033472750049
L395_f11,xy,2.471068345973193
L395_f11,xy,3.2644447804158547
L395_f11,xy,2.3670507641377587
L395_f11,xy,3.8190109801420937
L395_f11,xy,2.811222732730967
L395_f11,xy,2.355742571787963
L395_f11,xy,0.2733640377515559
L395_f11,xy,1.3839619697533525
L395_f11,xy,1.7262752937754224
L395_f11,xy,4.22034773527934
L395_f11,xy,0.3803362000659184
L395_f11,xy,1.805813253925118
L395_f11,xy,2.4207777733390565
L395_f11,xy,3.824989762484865
L395_f11,xy,3.098023876682681
L395_f11,xy,0.2100848187071343
L395_f11,xy,3.99791096672443
L395_f11,xy,1.879408211500238
L395_f11,xy,3.0098771700020523
L395_f11,xy,1.0929827571632909
L395_f11,xy,1.9728901824621052
L395_f11,xy,2.4667807087771445
L395_f11,xy,1.044660257537654
L395_f11,xy,2.2204974334689025
L395_f11,xy,1.6613483741233304
L395_f11,xy,1.8769987594570845
L395_f11,xy,3.361445722711722
L395_f11,xy,1.4879218786436534
L395_f11,xy,2.025030613756007
L395_f11,xy,4.702454280088185
L395_f11,xy,2.137019289996006
L395_f11,xy,3.244573675871733
L395_f11,xy,3.378142192290212
L395_f11,xy,4.729573587164146
L395_f11,xy,4.855420128727118
L395_f11,xy,5.711197330547526
L395_f11,xy,1.1375536647681352
L395_f11,xy,1.2840654292355171
L395_f11,xy,0.8884730218324828
L395_f11,xy,2.9919326854534805
L395_f11,xy,1.2980631073781816
L395_f11,xy,3.935800292631692
L395_f11,xy,2.5415292941338716
L395_f11,xy,2.0543540269454508
L395_f11,xy,1.166277862075896
L395_f11,xy,2.8340425544864
