owner,fish_id,master_csv,conf_func_csv,ring,plot_order,bpi_category,identity_bucket,count,n_total_responsive
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,14,weak-response,sst1.1/sst1.2/tac3b,1,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,15,weak-response,sst1.1/tac3b,2,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,16,weak-response,sst1.1/pth2,1,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,17,weak-response,unidentified,494,1045
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,0,bout-responsive,,275,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,1,continuous-responsive,,7,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,2,both-responsive,,82,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,3,weak-response,,517,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,0,bout-responsive,sst1.1,2,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,1,bout-responsive,pth2,7,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,2,bout-responsive,sst1.1/pth2,3,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,3,bout-responsive,unidentified,263,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,4,continuous-responsive,unidentified,7,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,5,both-responsive,unidentified,82,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,6,weak-response,sst1.1,1,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,7,weak-response,pth2,5,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,8,weak-response,sst1.1/pth2,1,881
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,9,weak-response,unidentified,510,881
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,0,bout-responsive,,40,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,1,continuous-responsive,,0,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,2,both-responsive,,42,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,3,weak-response,,244,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,0,bout-responsive,pth2,3,326
