owner,fish_id,gene,anat_label,plane,func_label,cell_key,stim_type,stim_class,block,stim_idx,response_mean_dff,response_mean_zdff,n_valid_points,n_total_points,fps
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLC+RLC,continuous,B2,16,0.004136933013796806,-0.12566708028316498,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLB,bout,B2,17,0.016210714355111122,1.8888356685638428,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,RLC,continuous,B2,20,0.003882557386532426,-0.1681094914674759,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLC,continuous,B2,21,0.0037616731133311987,-0.18827900290489197,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,RLB,bout,B2,22,0.0029685518238693476,-0.32061082124710083,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLB+RLB,bout,B2,23,0.008518349379301071,0.6053693890571594,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLB+RLB,bout,B2,24,0.005466708913445473,0.09620508551597595,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLC,continuous,B2,25,0.0027439778205007315,-0.35808083415031433,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLC+RLC,continuous,B2,26,0.00475045433267951,-0.023301593959331512,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,RLC,continuous,B2,28,0.004106506239622831,-0.13074378669261932,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,LLB,bout,B2,30,0.006360909901559353,0.24540193378925323,57,57,2.0
Matilde,L395_f11,pth2,13353,4,425,L395_f11|pth2|13353,RLB,bout,B2,31,0.0035384823568165302,-0.22551825642585754,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLC,continuous,B1,1,0.008663739077746868,0.30305585265159607,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC,continuous,B1,2,0.021451612934470177,2.3415303230285645,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLB,bout,B1,3,0.019823774695396423,2.0820417404174805,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB,bout,B1,4,0.0504935197532177,6.97100830078125,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB+RLB,bout,B1,6,0.05730335786938667,8.056543350219727,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC+RLC,continuous,B1,7,0.008490553125739098,0.275448739528656,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLC,continuous,B1,9,0.0033571866806596518,-0.5428447723388672,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB,bout,B1,10,0.03340307995676994,4.24667501449585,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB+RLB,bout,B1,11,0.04999667778611183,6.8918070793151855,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLB,bout,B1,12,0.011228453367948532,0.7118886113166809,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC,continuous,B1,13,0.003925698809325695,-0.45222005248069763,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC+RLC,continuous,B1,14,0.0017087870510295033,-0.8056108355522156,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC+RLC,continuous,B2,16,0.00367722287774086,-0.49182888865470886,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB,bout,B2,17,0.036778368055820465,4.784719467163086,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLC,continuous,B2,20,0.0030837988015264273,-0.5864246487617493,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC,continuous,B2,21,0.0028581314254552126,-0.6223976016044617,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLB,bout,B2,22,0.002907543908804655,-0.6145209074020386,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB+RLB,bout,B2,23,0.03390980884432793,4.327451705932617,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB+RLB,bout,B2,24,0.030455999076366425,3.776890754699707,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC,continuous,B2,25,0.0042830826714634895,-0.3952505588531494,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLC+RLC,continuous,B2,26,0.010599914938211441,0.6116955280303955,57,57,2.0
