group,laterality,stim_mode,n_responsive_used,n_low_used,n_other,n_total,frac_responsive_used,frac_low_used,frac_other,fish_id
sst1.1,contra,bout,11,11,4,26,0.4230769230769231,0.4230769230769231,0.1538461538461538,L396_f04
sst1.2,contra,bout,3,2,7,12,0.25,0.1666666666666666,0.5833333333333334,L396_f04
npy,contra,bout,9,1,6,16,0.5625,0.0625,0.375,L396_f04
tac3b,contra,bout,1,1,0,2,0.5,0.5,0.0,L396_f04
pth2,contra,bout,7,0,3,10,0.7,0.0,0.3,L396_f04
cfos,contra,bout,0,1,0,1,0.0,1.0,0.0,L396_f04
All neurons,contra,continuous,624,1080,1929,3633,0.1717588769611891,0.2972749793559042,0.5309661436829067,L396_f04
sst1.1,contra,continuous,11,11,4,26,0.4230769230769231,0.4230769230769231,0.1538461538461538,L396_f04
sst1.2,contra,continuous,3,2,7,12,0.25,0.1666666666666666,0.5833333333333334,L396_f04
npy,contra,continuous,9,1,6,16,0.5625,0.0625,0.375,L396_f04
tac3b,contra,continuous,1,1,0,2,0.5,0.5,0.0,L396_f04
pth2,contra,continuous,7,0,3,10,0.7,0.0,0.3,L396_f04
cfos,contra,continuous,0,1,0,1,0.0,1.0,0.0,L396_f04
All neurons,ipsi,bout,624,1080,1929,3633,0.1717588769611891,0.2972749793559042,0.5309661436829067,L396_f04
sst1.1,ipsi,bout,11,11,4,26,0.4230769230769231,0.4230769230769231,0.1538461538461538,L396_f04
sst1.2,ipsi,bout,3,2,7,12,0.25,0.1666666666666666,0.5833333333333334,L396_f04
npy,ipsi,bout,9,1,6,16,0.5625,0.0625,0.375,L396_f04
tac3b,ipsi,bout,1,1,0,2,0.5,0.5,0.0,L396_f04
pth2,ipsi,bout,7,0,3,10,0.7,0.0,0.3,L396_f04
cfos,ipsi,bout,0,1,0,1,0.0,1.0,0.0,L396_f04
All neurons,ipsi,continuous,624,1080,1929,3633,0.1717588769611891,0.2972749793559042,0.5309661436829067,L396_f04
sst1.1,ipsi,continuous,11,11,4,26,0.4230769230769231,0.4230769230769231,0.1538461538461538,L396_f04
sst1.2,ipsi,continuous,3,2,7,12,0.25,0.1666666666666666,0.5833333333333334,L396_f04
npy,ipsi,continuous,9,1,6,16,0.5625,0.0625,0.375,L396_f04
tac3b,ipsi,continuous,1,1,0,2,0.5,0.5,0.0,L396_f04
pth2,ipsi,continuous,7,0,3,10,0.7,0.0,0.3,L396_f04
cfos,ipsi,continuous,0,1,0,1,0.0,1.0,0.0,L396_f04
