conf_label,twoP_label,distance_um,within_gate
114,469,198.04176541647857,False
104,469,198.404930284942,False
115,469,203.9583230654456,False
140,469,208.57107450122052,False
146,469,209.2621358727233,False
144,469,210.2631437420384,False
152,469,210.3239785479252,False
149,469,212.17482364355715,False
145,469,212.33814796694068,False
141,469,212.49049851813294,False
127,469,216.59746493311948,False
163,549,217.47904675622752,False
105,469,217.73916633068066,False
136,469,218.10147539049748,False
150,549,218.11995048110654,False
117,469,219.15164327272214,False
110,549,219.50327934287068,False
154,549,220.05777696029722,False
165,549,220.34804784112598,False
166,549,222.2183087972368,False
128,549,226.10528374475876,False
116,549,226.39488368661344,False
122,469,227.17648948850447,False
111,549,227.18962504938014,False
118,469,227.65621844471082,False
147,549,228.77113012542137,False
112,549,230.5818400866553,False
155,549,230.7714253980066,False
125,469,231.40459282620674,False
132,549,233.2194734992901,False
126,549,233.42871487482597,False
151,549,234.2846521735593,False
167,549,234.6313479696902,False
172,549,234.9825089624463,False
123,549,241.6811547366259,False
173,549,252.92473317987867,False
89,57,255.66667550671383,False
90,57,255.75964755178603,False
88,57,257.48889828720775,False
47,57,266.1029408211608,False
56,57,274.2023496046679,False
53,57,279.91821765037247,False
51,57,281.646779138604,False
7,57,283.92940045945295,False
35,57,290.1389332279231,False
36,57,294.63651905417333,False
27,57,298.1216314292617,False
23,57,309.4071787569948,False
24,57,316.44615920717973,False
63,57,317.1355206839354,False
32,469,327.4096266053901,False
74,469,344.5403995773191,False
55,469,345.23436440637334,False
59,57,348.7710330054876,False
22,469,352.6386051210552,False
26,57,357.1069892816444,False
86,469,364.7427974800593,False
8,57,366.4413711480112,False
66,549,367.4349990208804,False
79,57,371.6609228174354,False
82,469,372.22413799381803,False
48,57,374.95174698400695,False
46,57,383.5356812109624,False
49,469,383.917374525373,False
42,57,386.6075687209002,False
54,57,395.8737605477328,False
37,57,395.97896973080253,False
19,549,396.201759132758,False
178,469,399.40050345498906,False
17,57,402.5307659715849,False
45,57,403.1340121010321,False
175,469,405.3243881611931,False
31,57,405.7290239493844,False
158,469,406.4741505613638,False
156,469,406.8444520744559,False
139,469,408.18145412374395,False
168,469,409.5458029858856,False
176,469,409.6257887086395,False
38,549,410.47116683455664,False
57,57,411.22870565274326,False
137,469,412.4680130528034,False
113,469,412.7801936166333,False
142,469,412.8040541433149,False
190,84,413.6776598983724,False
160,469,413.7172486807197,False
129,469,415.17320143580645,False
161,469,416.96489984776883,False
138,469,417.8755667687178,False
58,57,418.1996232258454,False
43,57,418.40834471697536,False
92,549,418.5188393466078,False
153,469,419.34260133322493,False
101,549,420.1347301685841,False
9,57,420.165940936263,False
44,57,420.4911723331098,False
143,469,420.6054264330372,False
169,549,421.0631671022139,False
177,469,421.3020170416356,False
68,549,422.7441545634346,False
20,57,423.20274622441804,False
69,549,423.8981634614505,False
188,85,424.1457530492021,False
170,469,425.22376983063833,False
91,549,426.49445176801913,False
87,549,426.8090864786123,False
183,84,426.95271067926507,False
93,549,427.10561750436796,False
67,549,427.29943224489864,False
159,469,427.71465966856545,False
162,469,428.2126546979919,False
121,469,428.3371577424776,False
164,469,429.3572257604583,False
120,469,429.36099790398913,False
10,57,429.54753836327404,False
60,469,430.00352642925515,False
52,469,430.99861895392337,False
75,549,431.1316205500352,False
99,732,431.1333079739176,False
77,549,431.26287137457933,False
97,469,431.6629297750949,False
80,549,431.9232761128569,False
100,469,432.5058086165879,False
76,549,432.6140454817145,False
70,549,432.8084717736292,False
157,469,433.4733615789395,False
134,469,434.89589225783493,False
103,749,435.4564922280027,False
96,469,435.996363227886,False
133,469,436.20728214962855,False
108,469,436.60215262093476,False
107,469,436.70850364966816,False
39,549,437.7216915358336,False
21,469,438.0271171374879,False
14,57,438.78308541780154,False
106,469,440.50973360796064,False
119,469,440.56318691606634,False
135,469,440.60733608503864,False
81,549,441.66360406903993,False
33,469,443.7154538947183,False
131,469,443.8396354899449,False
64,469,445.9924848587392,False
130,469,446.13108796502854,False
102,469,447.1945495440272,False
109,469,447.69361364687927,False
61,469,447.8917400893268,False
25,469,448.8695308557196,False
40,469,450.53258634706737,False
83,469,451.60574337340336,False
124,469,452.7070188751058,False
34,469,452.7892646784694,False
174,549,455.69807086484815,False
71,469,455.8972845196215,False
148,549,458.9384145435467,False
94,469,460.0578520347555,False
72,469,461.782760757615,False
98,469,463.7532724261323,False
62,549,465.32564630246617,False
95,549,470.5365276074103,False
41,469,476.6578619570509,False
73,549,480.3234626311132,False
180,84,482.9048715610431,False
179,84,489.69696442214035,False
50,549,502.44979402001326,False
18,57,530.1745249045496,False
84,549,535.6558295147282,False
1,85,556.0637177596817,False
186,85,556.176747507192,False
29,57,558.9001429402387,False
85,57,558.9315473599016,False
15,57,562.3926275497738,False
78,85,562.4114980952731,False
30,57,563.030175955949,False
28,57,564.5597160185996,False
12,57,566.515064235038,False
191,85,583.8948232948644,False
184,85,584.4996932765259,False
187,85,587.4327981723799,False
189,85,593.2977163128514,False
16,85,594.331819732203,False
13,85,595.9086952931887,False
4,57,595.9581105729894,False
182,85,597.5740719415716,False
65,85,600.915996328836,False
2,85,601.1824584065776,False
185,85,604.0209428566244,False
181,85,605.2224662503178,False
3,57,606.6450410945811,False
6,57,630.2434813334476,False
5,57,631.1672582300012,False
11,57,634.4654597112722,False
171,85,660.1154746775034,False
