fish_id,n_planes,n_ants_better_by_post_ncc,n_ncc_better_or_tied_by_post_ncc,mean_ncc_xy_post_ncc,mean_ants_post_ncc,mean_delta_post_ncc_ants_minus_ncc,median_delta_post_ncc_ants_minus_ncc,min_delta_post_ncc_ants_minus_ncc,max_delta_post_ncc_ants_minus_ncc,mean_delta_valid_fraction_ants_minus_ncc,recommendation_by_image_metric
L395_f11,5,5,0,0.7786801338195801,0.8690983533859253,0.09041821956634521,0.09848839044570923,0.07332479953765869,0.105796217918396,0.000911644444444426,ants_rigid_affine
L396_f01,5,2,3,0.7529490709304809,0.4366380378603935,-0.31631103307008746,-0.5168082118034363,-0.6624332144856453,0.08826309442520142,-0.0030087111111111063,ncc_xy
L396_f03,5,0,5,0.8495138049125671,-0.0055216005071998,-0.8550354054197669,-0.870574156753719,-0.9605510160326958,-0.7512063458561897,-0.010299733333333328,ncc_xy
L396_f04,5,5,0,0.6888913154602051,0.8130482912063599,0.12415697574615478,0.12477695941925049,0.09385955333709717,0.166792094707489,2.666666666666373e-05,ants_rigid_affine
