fish_id,n_rois,n_unique_anat_match,n_identity_assigned,median_selected_dist_um,median_selected_overlap_px,unique_match_frac,unmatched_frac
L395_f11,4530,2864,36,2.514124758795802,28.0,0.6322295805739514,0.3677704194260486
L396_f01,4536,2257,14,2.976311375098072,26.0,0.49757495590828926,0.5024250440917107
L396_f03,3611,1695,44,2.906927985103123,22.0,0.46939905843256713,0.5306009415674329
L396_f04,3633,1631,24,2.8657189622493604,24.0,0.4489402697495183,0.5510597302504817
