trial_id,type,stim_side,stim_mode,laterality,motion_start,motion_end,motion_duration,auc_dff,n_valid_frames,window_frames
B1_stim2_LLC,LLC,left,continuous,ipsi,117.17788009997457,135.6859945002942,18.50811440031964,0.13260653614997864,37,37
B1_stim3_RLC,RLC,right,continuous,contra,165.75041440036136,184.25908010033902,18.508665699977655,0.16893169283866882,37,37
B1_stim4_LLB,LLB,left,bout,ipsi,214.32328819995735,232.83166739996523,18.50837920000788,0.07857908308506012,37,37
B1_stim7_RLB,RLB,right,bout,contra,360.0419302000664,378.5501828002741,18.508252600207697,0.047238901257514954,37,37
B1_stim8_RLC,RLC,right,continuous,contra,408.6145373000761,427.1232625003904,18.508725200314302,0.13750827312469482,37,37
B1_stim9_RLB,RLB,right,bout,contra,457.1872996003367,475.6959412000142,18.508641599677503,0.026936959475278854,37,37
B1_stim12_LLB,LLB,left,bout,ipsi,602.9062433000654,621.4145308001898,18.508287500124425,0.08395277708768845,37,37
B1_stim15_LLC,LLC,left,continuous,ipsi,748.6248362003826,767.132993100211,18.508156899828464,0.01898394525051117,37,37
B2_stim16_LLC,LLC,left,continuous,ipsi,797.1976093002593,815.7060449002311,18.50843559997179,0.07740285992622375,37,37
B2_stim17_RLB,RLB,right,bout,contra,845.770329200197,864.2788043003529,18.50847510015592,0.07556182891130447,37,37
B2_stim21_RLC,RLC,right,continuous,contra,1040.0621084002778,1058.5704390006142,18.50833060033642,0.10059724748134613,37,37
B2_stim23_LLB,LLB,left,bout,ipsi,1137.207977400627,1155.7157783005387,18.507800899911672,0.23983830213546753,37,37
B2_stim24_RLB,RLB,right,bout,contra,1185.7802339005284,1204.2885828004219,18.508348899893463,0.20682963728904724,37,37
B2_stim25_RLC,RLC,right,continuous,contra,1234.3532295003533,1252.8617944004945,18.50856490014121,0.11232534050941467,37,37
B2_stim27_LLC,LLC,left,continuous,ipsi,1331.498980300501,1350.007167200558,18.5081869000569,0.023768490180373192,37,37
B2_stim28_LLB,LLB,left,bout,ipsi,1380.0719718001783,1398.5800982005894,18.50812640041113,0.07244393229484558,37,37
